label,trial_id,time,us_c0,pir_c0,us_c1,pir_c1,us_c2,pir_c2,us_c3,pir_c3,x,y
straight_walk,straight_walk_000,0.0,512.2,0,338.8,0,197.7,1,427.7,0,3.9632,3.2815
straight_walk,straight_walk_000,0.1,511.1,0,347.2,0,202.7,1,429.8,0,3.9168,3.2751
straight_walk,straight_walk_000,0.2,518.3,0,346.6,0,193.7,1,433.1,0,3.9901,3.3153
straight_walk,straight_walk_000,0.3,513.5,0,347.6,0,195.5,1,431.0,0,3.9439,3.2949
straight_walk,straight_walk_000,0.4,513.9,0,343.3,0,198.9,1,432.8,0,3.9677,3.2731
straight_walk,straight_walk_000,0.5,514.9,0,348.9,0,202.4,1,431.3,0,3.9397,3.2968
straight_walk,straight_walk_000,0.6,525.5,0,348.6,0,198.3,1,433.1,0,4.0253,3.3648
straight_walk,straight_walk_000,0.7,517.8,0,343.4,0,194.1,1,429.1,0,3.9896,3.3271
straight_walk,straight_walk_000,0.8,525.2,0,350.1,0,192.2,1,435.3,0,4.0306,3.3615
straight_walk,straight_walk_000,0.9,521.8,0,350.5,0,195.9,1,429.4,0,3.9826,3.367
straight_walk,straight_walk_000,1.0,522.8,0,350.0,0,188.5,1,433.0,0,4.0121,3.3623
straight_walk,straight_walk_000,1.1,526.9,0,352.3,0,189.2,1,425.3,1,4.007,3.4392
straight_walk,straight_walk_000,1.2,520.9,0,354.0,0,186.6,1,427.8,0,3.967,3.3902
straight_walk,straight_walk_000,1.3,528.0,0,349.9,0,188.4,1,430.2,1,4.041,3.4148
straight_walk,straight_walk_000,1.4,530.3,0,358.9,0,188.1,1,428.1,0,4.0093,3.4644
straight_walk,straight_walk_000,1.5,527.3,0,356.6,0,195.1,1,432.1,0,4.001,3.4061
straight_walk,straight_walk_000,1.6,524.3,0,356.6,0,182.5,1,426.1,0,3.9793,3.4346
straight_walk,straight_walk_000,1.7,522.4,0,351.8,0,184.8,1,431.6,0,4.0011,3.3759
straight_walk,straight_walk_000,1.8,527.2,0,359.9,0,187.4,1,429.8,0,3.988,3.4359
straight_walk,straight_walk_000,1.9,528.9,0,355.4,0,180.4,1,429.7,0,4.0296,3.4464
straight_walk,straight_walk_000,2.0,531.5,0,357.9,0,184.8,1,433.0,0,4.0406,3.4463
straight_walk,straight_walk_000,2.1,533.4,0,353.7,1,182.7,1,433.8,0,4.0791,3.448
straight_walk,straight_walk_000,2.2,536.8,0,359.8,0,173.0,1,430.8,0,4.077,3.5158
straight_walk,straight_walk_000,2.3,530.0,0,356.4,0,185.3,1,424.3,0,4.0114,3.4811
straight_walk,straight_walk_000,2.4,535.7,0,357.5,0,179.1,1,429.6,0,4.0697,3.5019
straight_walk,straight_walk_000,2.5,536.4,0,366.9,0,180.2,1,427.7,0,4.0225,3.5394
straight_walk,straight_walk_000,2.6,536.5,0,359.9,0,174.7,1,424.4,0,4.0538,3.5479
straight_walk,straight_walk_000,2.7,528.2,0,364.6,0,179.7,1,426.6,1,3.9723,3.4822
